,code,source,sourceOther,channelCode,created,dfrom,dto,board,amount,currency,roomCode,roomCodeAssigned,qt,country,adults,teens,children,reservationStatus,reservationTags,marketCode,los,bWindow,occupancy,ADR
106,WH-0002,2,Booking,['WEB'],2022-04-06,2022-04-06,2022-04-08,nb,221760.0,COP,STDD,STDD,1,CO,2,0,0,1,[],IND,2,0,2,110880.0
107,JV-0016,2,Booking,['WEB'],2022-04-06,2022-04-13,2022-04-16,bb,643157.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,3,7,2,214385.66666666666
108,AG-0021,2,Booking,['WEB'],2022-04-06,2022-04-30,2022-05-03,nb,351540.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,3,24,2,117180.0
109,LP-0010,2,Booking,['WEB'],2022-04-06,2022-04-07,2022-04-08,nb,116424.0,COP,STDT,STDT,1,CO,2,0,0,1,[],IND,1,1,2,116424.0
110,DJ-0002,2,Booking,['WEB'],2022-04-07,2022-04-23,2022-04-26,bb,396900.0,COP,SUPD,SUPD,1,CO,2,0,0,4,[],IND,3,16,2,132300.0
111,HS-0008,-1,Zak,['DIR'],2022-04-08,2022-04-07,2022-04-08,bb,150000.0,COP,TWIN,TWIN,1,CO,2,0,0,1,[],IND,1,-1,2,150000.0
112,YM-0006,2,Booking,['WEB'],2022-04-08,2022-04-25,2022-04-27,nb,221760.0,COP,STDD,STDD,1,CO,2,0,0,1,[],IND,2,17,2,110880.0
113,IR-0002,2,Booking,['WEB'],2022-04-08,2022-04-10,2022-04-12,nb,446700.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,2,2,2,223350.0
114,MS-0011,2,Booking,['WEB'],2022-04-09,2022-04-12,2022-04-15,nb,670050.0,COP,SUPT,SUPT,1,CO,2,0,0,1,[],IND,3,3,2,223350.0
115,LM-0015,2,Booking,['WEB'],2022-04-09,2022-04-15,2022-04-17,nb,465703.0,COP,STDT,STDT,1,CO,2,0,0,1,[],IND,2,6,2,232851.5
116,AS-0013,2,Booking,['WEB'],2022-04-09,2022-04-09,2022-04-13,nb,619290.0,COP,STDD,STDD,1,CO,2,0,0,1,[],IND,4,0,2,154822.5
117,JG-0028,2,Booking,['WEB'],2022-04-09,2022-04-09,2022-04-10,nb,173250.0,COP,STDT,STDT,1,CO,2,0,0,1,[],IND,1,0,2,173250.0
118,AU-0002,2,Booking,['WEB'],2022-04-09,2022-04-10,2022-04-12,bb,491400.0,COP,STDT,STDT,1,CO,2,0,1,4,[],IND,2,1,3,245700.0
119,EP-0012,-1,Zak,['DIR'],2022-04-10,2022-04-09,2022-04-10,bb,190000.0,COP,SUPC,SUPC,1,CO,3,0,0,1,[],IND,1,-1,3,190000.0
120,JV-0017,-1,Zak,['DIR'],2022-04-10,2022-04-10,2022-04-11,bb,190000.0,COP,SUPT,SUPT,1,EC,3,0,0,1,[],IND,1,0,3,190000.0
